,question,exec_time_seconds,answer,retriever_topk,PREPROCESSOR_SPLIT_BY,PREPROCESSOR_SPLIT_LENGTH,PREPROCESSOR_SPLIT_OVERLAP,EMBEDDING_MODEL,EMBEDDING_MODEL_SHORTNAME,EMBEDDING_MAX_SEQ_LENGTH,OUTPUT_TYPE,OUTPUT_NBEAMS,OUTPUT_MAXLENGTH
24,What happened at the Awakening Ritual?,15.431543350219727,"I'm not sure if this is what you're looking for, but here's what I remember from the Awakening Ritual: 1. Gashwad, one of the initiates, was given a scepter. 2. At the end of the ritual, he was asked to give a speech. He said something along the lines of, “I’m sorry, but I don’t know what you’re talking about.” 3. He gave a speech that went something like this: “You’ve broken your oath, and I’ll punish you for it. If you break your oath again, I will punish you again, and this time I will make you pay for it,” he said. 4. He told everyone that if they broke their oath, they’d be punished. 5. He then said that if you broke your oath three times, you would be punished three times. 6. Then he said that he would punish you three times for breaking your oath. 7. He went on to tell everyone that he was going to punish them for breaking their oath three more times. 8. He proceeded to beat them all to death. 9. He left the room. 10. He came back a few minutes later. 11. He was arrested. 12. He confessed to all of the crimes he had committed.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
25,What happened at the Awakening Ritual?,12.031453609466553,"I don't know if this is what you're looking for, but here's what I remember from the Awakening Ritual: 1. Gashwad, one of the initiates, was wearing a mask. 2. The other initiates were wearing masks as well. 3. At the end of the ritual, the first initiates woke up. 4. The second initiates awoke. 5. The third initiates awakened. 6. The fourth and fifth initiates awaken. 7. The sixth and seventh initiates awake. 8. The eighth and ninth initiates wake up. 9. The tenth and eleventh initiates rise. 10. The eleventh and twelfth initiates rose. 11. The twelfth and thirteenth initiates arise. 12. The fifteenth and sixteenth initiate rise.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
26,What happened at the Awakening Ritual?,8.789185047149658,"I don't know if this is what you're looking for, but here's what I remember from the Awakening Ritual: 1. Gashwad, one of the initiates, was wearing a mask. 2. The other initiates were wearing masks as well. 3. At the end of the ritual, the first initiates woke up. 4. The second initiates awoke. 5. The third initiates awakened. 6. The fourth and fifth initiates awaken. 7. The sixth and seventh initiates awake. 8. The eighth and ninth initiates wake up. 9. The tenth and eleventh initiates rise. 10. The eleventh and twelfth initiates rose. 11. The twelfth and thirteenth initiates arise. 12. The fifteenth and sixteenth initiate rise.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
27,What happened at the Awakening Ritual?,10.90931224822998,"I don't know if this is what you're looking for, but here's what I remember from the Awakening Ritual: 1. Gashwad, one of the initiates, was wearing a mask. 2. The other initiates were wearing masks as well. 3. At the end of the ritual, the first initiates woke up. 4. The second initiates awoke. 5. The third initiates awakened. 6. The fourth and fifth initiates awaken. 7. The sixth and seventh initiates awake. 8. The eighth and ninth initiates wake up. 9. The tenth and eleventh initiates rise. 10. The eleventh and twelfth initiates rose. 11. The twelfth and thirteenth initiates arise. 12. The fifteenth and sixteenth initiate rise.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
28,When does the Hungry Choir contest start?,2.8104071617126465,"I don't know the exact date, but I think it's around the same time every year. I'm not sure if it's the same every year, though.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
29,When does the Hungry Choir contest start?,2.7130470275878906,"I don't know the exact date, but I think it's around the same time every year. I'm not sure if it's the same every year, though.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
30,When does the Hungry Choir contest start?,2.940516233444214,"I don't know the exact date, but I think it's around the same time every year. I'm not sure if it's the same every year, though.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
31,When does the Hungry Choir contest start?,4.35558557510376,"I don't know the exact date, but I think it's around the same time every year. I'm not sure if it's the same every year, though.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
32,When does Alpeana Operate?,3.362971782684326,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She's just a part of the world.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
33,When does Alpeana Operate?,3.8678781986236572,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She's just a part of the world.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
34,When does Alpeana Operate?,4.968731880187988,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She's just a part of the world.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
35,When does Alpeana Operate?,5.35101580619812,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She's just a part of the world.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
36,Where is Kennet?,2.220285415649414,Kennet is the name of a town in the United States. It is located on the west coast of the state of Washington.,5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
37,Where is Kennet?,2.4673686027526855,Kennet is the name of the town on the east coast of the United States.,10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
38,Where is Kennet?,2.6821959018707275,Kennet is the name of the town on the east coast of the United States.,20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
39,Where is Kennet?,4.021502494812012,Kennet is the name of the town on the east coast of the United States.,50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
40,Where is the Arena?,2.4553511142730713,"The Arena is the largest building in Kennet, if not the largest. It was where the Others had congregated in the greatest numbers.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
41,Where is the Arena?,3.1197710037231445,"The Arena is the largest building in Kennet, if not the largest. It was where the Others had congregated in the greatest numbers.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
42,Where is the Arena?,3.26013445854187,"The Arena is the largest building in Kennet, if not the largest. It was where the Others had congregated in the greatest numbers.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
43,Where is the Arena?,3.6753456592559814,"The Arena is the largest building in Kennet, if not the largest. It was where the Others had congregated in the greatest numbers.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
44,Why was Avery chosen for Awakening?,4.211321115493774,Avery was chosen for Awakening because he was the only one who was willing to go through with it. He was chosen because of the fact that he was one of the few people who were willing to do it.,5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
45,Why was Avery chosen for Awakening?,3.130758285522461,Avery was chosen for Awakening because he was the only one who was willing to go through with it. He was chosen because he wanted to be a part of it.,10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
46,Why was Avery chosen for Awakening?,3.337393283843994,Avery was chosen for Awakening because he was the only one who was willing to go through with it. He was chosen because he wanted to be a part of it.,20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
47,Why was Avery chosen for Awakening?,3.871103525161743,Avery was chosen for Awakening because he was the only one who was willing to go through with it. He was chosen because he wanted to be a part of it.,50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
48,Why is Maricaca a suspect?,2.882167339324951,"Maricica is a witch. She's a witch because she was a witch in the past, and she's still a witch today.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
49,Why is Maricaca a suspect?,3.2656188011169434,"Maricica is not a suspect in this case, but she is suspected of being involved in the murder of the Carmine Beast. This is a very serious crime, and there is a lot of evidence to suggest that Maricica was involved.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
50,Why is Maricaca a suspect?,3.508664608001709,"Maricica is not a suspect in this case, but she is suspected of being involved in the murder of the Carmine Beast. This is a very serious crime, and there is a lot of evidence to suggest that Maricica was involved.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
51,Why is Maricaca a suspect?,4.475513458251953,"Maricica is not a suspect in this case, but she is suspected of being involved in the murder of the Carmine Beast. This is a very serious crime, and there is a lot of evidence to suggest that Maricica was involved.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
52,How does Verona's Sight describe objects?,12.673860788345337,"I don't know if this is what you're looking for, but I can give you an example of how Verona's Sight works. When she was a little girl, she was playing in the woods with her friends. One day, she noticed that there was a tree in the distance. She looked at the tree, and noticed that it was very tall, and that it had a lot of leaves on it. She asked her friends what they thought it was, and they all said that it looked like a tree. So she asked them what it was. They all said it was a big tree, with lots of leaves. So Verona asked them, ""What is this tree?"" They said, ""It's a tree."" And she asked, ""How big is it?"" And they told her that it's about the size of a pencil eraser.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
53,How does Verona's Sight describe objects?,10.413838148117065,"I'm not sure if this is what you're looking for, but Verona's Sight is a type of vision that allows you to see things in a way that other people can't. For example, if you look at a picture of a person, you can see the person's face, but you can't see the details of their hair, their skin, their eyes, their mouth, their nose, etc. Verona can see these things, but she can't tell you what they look like. She can tell you the shape of the person, but not how they look.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
54,How does Verona's Sight describe objects?,6.9472246170043945,"I'm not sure if this is what you're looking for, but Verona's Sight is a type of vision that allows you to see things in a way that other people can't. For example, if you look at a picture of a person, you can see the person's face, but you can't see the details of their hair, their skin, their eyes, their mouth, their nose, etc. Verona can see these things, but she can't tell you what they look like. She can tell you the shape of the person, but not how they look.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
55,How does Verona's Sight describe objects?,7.745131254196167,"I'm not sure if this is what you're looking for, but Verona's Sight is a type of vision that allows you to see things in a way that other people can't. For example, if you look at a picture of a person, you can see the person's face, but you can't see the details of their hair, their skin, their eyes, their mouth, their nose, etc. Verona can see these things, but she can't tell you what they look like. She can tell you the shape of the person, but not how they look.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
56,How long has the Carmine been dead?,2.935460329055786,"I don't know the answer to your question, but I can tell you that the Carmine Beast has been dead for a very long time.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
57,How long has the Carmine been dead?,6.478085994720459,"I don't know the answer to your question, but I can tell you that the Carmine Beast has been dead for a very long time.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
58,How long has the Carmine been dead?,9.635103464126587,"I don't know the answer to your question, but I can tell you that the Carmine Beast has been dead for a very long time.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
59,How long has the Carmine been dead?,7.468788146972656,"I don't know the answer to your question, but I can tell you that the Carmine Beast has been dead for a very long time.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
60,How old is Matthew?,4.276069641113281,"I don't know the answer to your question, but I can tell you that Matthew was born in the mid-1980s.",5,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
61,How old is Matthew?,4.629680156707764,"I don't know the answer to your question, but I can tell you that Matthew was born in the mid-1980s.",10,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
62,How old is Matthew?,4.8184943199157715,"I don't know the answer to your question, but I can tell you that Matthew was born in the mid-1980s.",20,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
63,How old is Matthew?,6.230135440826416,"I don't know the answer to your question, but I can tell you that Matthew was born in the mid-1980s.",50,word,100,20,../twig_otherverse_parahumans_adapted,finetuned,500,GENERATIVE_BART,8,500
0,Who is Avery Kelly?,11.299505710601807,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
1,Who is Avery Kelly?,1.8156743049621582,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
2,Who is Avery Kelly?,1.4237382411956787,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
3,Who is Avery Kelly?,2.3419601917266846,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
4,Who is Zed?,22.5464129447937,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
5,Who is Zed?,1.3286571502685547,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
6,Who is Zed?,1.7403466701507568,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
7,Who is Zed?,2.4913339614868164,Avery Kelly is a blind man who lives in a small town in the middle of nowhere. He's a janitor.,50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
8,What is Toadswallow?,2.825690507888794,Toadswallow is a bird.,5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
9,What is Toadswallow?,1.0309348106384277,Toadswallow is a bird.,10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
10,What is Toadswallow?,1.513136863708496,Toadswallow is a bird.,20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
11,What is Toadswallow?,2.1857869625091553,Toadswallow is a bird.,50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
12,What is Miss?,3.0234200954437256,"Miss is a term used to refer to a person who has lost their sense of self. For example, if you lose your sense of smell, you can no longer smell yourself, but you can still smell other people.",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
13,What is Miss?,0.9797141551971436,"Miss is a term used to refer to a person who has lost their sense of self. For example, if you lose your sense of smell, you can no longer smell yourself, but you can still smell other people.",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
14,What is Miss?,1.3897643089294434,"Miss is a term used to refer to a person who has lost their sense of self. For example, if you lose your sense of smell, you can no longer smell yourself, but you can still smell other people.",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
15,What is Miss?,2.971325635910034,"Miss is a term used to refer to a person who has lost their sense of self. For example, if you lose your sense of smell, you can no longer smell yourself, but you can still smell other people.",50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
16,What is the Forest Ribbon Trail?,3.3184938430786133,"The Forest Ribbon Trail is a way to get to the other side of the world. It's not a path, it's just a way of getting to where you want to go.",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
17,What is the Forest Ribbon Trail?,0.876413106918335,"The Forest Ribbon Trail is a way to get to the other side of the world. It's not a path, it's just a way of getting to where you want to go.",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
18,What is the Forest Ribbon Trail?,1.506800651550293,"The Forest Ribbon Trail is a way to get to the other side of the world. It's not a path, it's just a way of getting to where you want to go.",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
19,What is the Forest Ribbon Trail?,2.173368215560913,"The Forest Ribbon Trail is a way to get to the other side of the world. It's not a path, it's just a way of getting to where you want to go.",50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
20,What animal is Snowdrop?,1.8775460720062256,Snowdrop is not an animal. She is a flower.,5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
21,What animal is Snowdrop?,0.8340804576873779,Snowdrop is not an animal. She is a flower.,10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
22,What animal is Snowdrop?,1.4787817001342773,Snowdrop is not an animal. She is a flower.,20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
23,What animal is Snowdrop?,2.1793220043182373,Snowdrop is not an animal. She is a flower.,50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
24,What happened at the Awakening Ritual?,2.1061325073242188,"I don't know if this is what you're looking for, but here's a link to a previous answer to a similar question:",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
25,What happened at the Awakening Ritual?,0.9285006523132324,"I don't know if this is what you're looking for, but here's a link to a previous answer to a similar question:",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
26,What happened at the Awakening Ritual?,1.9879822731018066,"I don't know if this is what you're looking for, but here's a link to a previous answer to a similar question:",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
27,What happened at the Awakening Ritual?,2.5150930881500244,"I don't know if this is what you're looking for, but here's a link to a previous answer to a similar question:",50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
28,When does the Hungry Choir contest start?,3.1490886211395264,"I don't know the exact answer to this, but I can tell you that it's been going on for a long time. It's been around for as long as I can remember.",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
29,When does the Hungry Choir contest start?,0.874549150466919,"I don't know the exact answer to this, but I can tell you that it's been going on for a long time. It's been around for as long as I can remember.",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
30,When does the Hungry Choir contest start?,1.512026309967041,"I don't know the exact answer to this, but I can tell you that it's been going on for a long time. It's been around for as long as I can remember.",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
31,When does the Hungry Choir contest start?,2.1683058738708496,"I don't know the exact answer to this, but I can tell you that it's been going on for a long time. It's been around for as long as I can remember.",50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
32,When does Alpeana Operate?,3.0743017196655273,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She doesn't have to do anything, she just has to do what she's told to do.",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
33,When does Alpeana Operate?,0.9537918567657471,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She doesn't have to do anything, she just has to do what she's told to do.",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
34,When does Alpeana Operate?,1.3499555587768555,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She doesn't have to do anything, she just has to do what she's told to do.",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
35,When does Alpeana Operate?,2.018364906311035,"Alpeana doesn't ""operate"" in the sense that she doesn't do anything. She doesn't have to do anything, she just has to do what she's told to do.",50,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
36,Where is Kennet?,2.3948042392730713,"Kennet is the name of a town in the United States. It was founded in the late 19th century, and is located in the southeastern corner of the state.",5,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
37,Where is Kennet?,0.9497792720794678,"Kennet is the name of a town in the United States. It was founded in the late 19th century, and is located in the southeastern corner of the state.",10,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
38,Where is Kennet?,1.3573510646820068,"Kennet is the name of a town in the United States. It was founded in the late 19th century, and is located in the southeastern corner of the state.",20,word,100,20,sentence-transformers/msmarco-bert-base-dot-v5,msmarco_bert,500,GENERATIVE_BART,8,500
